"","Year","Region Category","Rating","n"
"1","2005","Asian",4,1
"2","2005","European",4.71428571428571,7
"3","2005","Latin American",4,8
"4","2006","American",3.56666666666667,60
"5","2006","Asian",3.94871794871795,39
"6","2006","European",3.62921348314607,89
"7","2006","Latin American",4.04651162790698,43
"8","2007","American",3.97727272727273,88
"9","2007","Asian",3.95833333333333,48
"10","2007","European",4.29457364341085,129
"11","2007","Latin American",3.65753424657534,73
"12","2008","American",3.97777777777778,315
"13","2008","Asian",3.75,140
"14","2008","European",3.96417910447761,335
"15","2008","Latin American",3.37671232876712,146
"16","2009","American",3.74715549936789,791
"17","2009","Asian",3.89145496535797,433
"18","2009","European",4.05479452054795,730
"19","2009","Latin American",3.80530973451327,452
"20","2010","American",3.78456591639871,1555
"21","2010","Asian",3.89449541284404,872
"22","2010","European",3.95053899809765,1577
"23","2010","Latin American",3.84390735146022,993
"24","2011","American",3.73124612523249,3226
"25","2011","Asian",3.86019536019536,1638
"26","2011","European",3.94220032840723,3045
"27","2011","Latin American",3.8144438587243,1897
"28","2012","American",3.76099356025759,5435
"29","2012","Asian",3.92956315611243,2953
"30","2012","European",3.90836298932384,4496
"31","2012","Latin American",3.76155372838106,3527
"32","2013","American",3.7576099210823,9757
"33","2013","Asian",3.92246437552389,4772
"34","2013","European",3.8855981416957,6888
"35","2013","Latin American",3.75264809729306,5098
"36","2014","American",3.82226051818398,16828
"37","2014","Asian",3.98222222222222,7875
"38","2014","European",3.89465970504717,10917
"39","2014","Latin American",3.80475638051044,8620
"40","2015","American",3.85040336071973,26899
"41","2015","Asian",3.94842223290085,12486
"42","2015","European",3.90788174478713,17217
"43","2015","Latin American",3.91518194950815,14537
"44","2016","American",3.84893995596972,33159
"45","2016","Asian",3.93812765383838,14837
"46","2016","European",3.91148286503167,18471
"47","2016","Latin American",3.97163368937139,17133
"48","2017","American",3.86165228817917,35006
"49","2017","Asian",3.98704577160699,15053
"50","2017","European",3.93899004124334,19882
"51","2017","Latin American",3.94759303516559,17574
"52","2018","American",3.88477729968601,42995
"53","2018","Asian",4.06335988414193,16572
"54","2018","European",3.94949313716695,22294
"55","2018","Latin American",3.95188818707163,22323
"56","2019","American",3.87388707314324,44365
"57","2019","Asian",4.04091792132103,16472
"58","2019","European",3.9520619731146,21945
"59","2019","Latin American",3.92563859981079,21140
"60","2020","American",3.84795262267343,29550
"61","2020","Asian",4.05958897962847,11143
"62","2020","European",3.99890994973657,16513
"63","2020","Latin American",3.91248665955176,14055
"64","2021","American",3.73506493506494,35035
"65","2021","Asian",3.95595457335789,13032
"66","2021","European",3.90204635825817,20622
"67","2021","Latin American",3.76159864151859,16489
"68","2022","American",3.7579884756417,1909
"69","2022","Asian",3.9055330634278,741
"70","2022","European",3.92340791738382,1162
"71","2022","Latin American",3.93507972665148,878
