"","Year","Special Category","Rating","n"
"1","2006","Gluten-Free",3.75,4
"2","2006","Salad",3.22222222222222,18
"3","2006","Seafood",4.02061855670103,97
"4","2006","Vegan",2.5,2
"5","2006","Vegetarian",4.33333333333333,3
"6","2007","Gluten-Free",4.33333333333333,3
"7","2007","Salad",3.27272727272727,11
"8","2007","Seafood",3.94782608695652,115
"9","2007","Vegan",4.75,4
"10","2007","Vegetarian",4.5,4
"11","2008","Gluten-Free",3.61111111111111,18
"12","2008","Salad",3.60526315789474,38
"13","2008","Seafood",3.66782006920415,289
"14","2008","Vegan",4.52380952380952,21
"15","2008","Vegetarian",3.69230769230769,13
"16","2009","Gluten-Free",3.44,25
"17","2009","Salad",4.00925925925926,108
"18","2009","Seafood",3.64285714285714,742
"19","2009","Vegan",4.27450980392157,51
"20","2009","Vegetarian",4.12698412698413,63
"21","2010","Gluten-Free",3.42105263157895,38
"22","2010","Salad",3.86082474226804,194
"23","2010","Seafood",3.72301933873986,1603
"24","2010","Vegan",4.18072289156626,166
"25","2010","Vegetarian",4.11170212765957,188
"26","2011","Gluten-Free",3.52577319587629,97
"27","2011","Salad",3.89083820662768,513
"28","2011","Seafood",3.68338870431894,3010
"29","2011","Vegan",4.18598382749326,371
"30","2011","Vegetarian",4.07304785894207,397
"31","2012","Gluten-Free",3.79910714285714,224
"32","2012","Salad",3.8785151856018,889
"33","2012","Seafood",3.67164179104478,4623
"34","2012","Vegan",4.00166666666667,600
"35","2012","Vegetarian",3.93140243902439,656
"36","2013","Gluten-Free",3.771875,320
"37","2013","Salad",3.7998678996037,1514
"38","2013","Seafood",3.73277355724377,7503
"39","2013","Vegan",4.18098159509202,978
"40","2013","Vegetarian",3.82475660639777,719
"41","2014","Gluten-Free",4.0112,625
"42","2014","Salad",3.87656408522151,2957
"43","2014","Seafood",3.75301848049281,12175
"44","2014","Vegan",4.13611615245009,1653
"45","2014","Vegetarian",3.77787234042553,1175
"46","2015","Gluten-Free",4.21546481320591,1151
"47","2015","Salad",3.99188640973631,5423
"48","2015","Seafood",3.79478827361564,19341
"49","2015","Vegan",4.1856936416185,2768
"50","2015","Vegetarian",3.89244712990937,1655
"51","2016","Gluten-Free",4.13719512195122,984
"52","2016","Salad",3.971733201091,8066
"53","2016","Seafood",3.85158060628534,21574
"54","2016","Vegan",4.1619141265159,3051
"55","2016","Vegetarian",4.08512673362028,2091
"56","2017","Gluten-Free",4.06281407035176,1194
"57","2017","Salad",3.95289416323565,8258
"58","2017","Seafood",3.86699178858739,23991
"59","2017","Vegan",4.24692137669719,3167
"60","2017","Vegetarian",4.02029621503017,1823
"61","2018","Gluten-Free",4.10880829015544,1351
"62","2018","Salad",3.95088432122371,8368
"63","2018","Seafood",3.93475660589365,27589
"64","2018","Vegan",4.31306187202538,3782
"65","2018","Vegetarian",4.13113435237329,2486
"66","2019","Gluten-Free",4.14638027048528,1257
"67","2019","Salad",3.93542366554685,8037
"68","2019","Seafood",3.92447483084771,28229
"69","2019","Vegan",4.36396546922863,3591
"70","2019","Vegetarian",4.14846784635304,2317
"71","2020","Gluten-Free",3.98959417273673,961
"72","2020","Salad",3.89488415487483,6431
"73","2020","Seafood",3.94207301105117,19093
"74","2020","Vegan",4.31858766233766,2464
"75","2020","Vegetarian",4.10835509138381,1532
"76","2021","Gluten-Free",4.09100204498978,978
"77","2021","Salad",3.71967575534267,6785
"78","2021","Seafood",3.84441231150589,24205
"79","2021","Vegan",4.13778463913547,2591
"80","2021","Vegetarian",3.97810218978102,1507
"81","2022","Gluten-Free",4.11428571428571,35
"82","2022","Salad",3.93638676844784,393
"83","2022","Seafood",3.83580858085809,1212
"84","2022","Vegan",4.13223140495868,121
"85","2022","Vegetarian",4.2972972972973,74
